cpu_abi,host,hardware,device,bootloader,cpu_abi2,os_name,board,manufacturer,build_id_prop,run_mode,zisemulator
armeabi-v7a,SWDG2909,qcom,sagit ,aruba3gzc,armeabi,sagit-user 4.4.2 NMF26X 381180523 release-keys,SM-G955F,Xiaomi ,null,Dalvik,1
armeabi-v7a,SWDG2909,qcom,sagit ,aruba3gzc,armeabi,sagit-user 4.4.2 NMF26X 381180523 release-keys,SM-G955F,Xiaomi ,null,Dalvik,1
armeabi-v7a,ubuntu-121-161,qcom,R11,unknown,armeabi,R11-user 4.4.2 NMF26X 381180418 release-keys,sdm660,OPPO,null,Dalvik,1
armeabi-v7a,ubuntu-121-161,qcom,R11,unknown,armeabi,R11-user 4.4.2 NMF26X 381180418 release-keys,sdm660,OPPO,null,Dalvik,1
armeabi-v7a,ubuntu,mt6589,R823T,unknown,armeabi,HUAWEI,GRA-TL00,OPPO,null,Dalvik,1
armeabi-v7a,ubuntu-121-161,qcom,R11,unknown,armeabi,R11-user 4.4.2 NMF26X 381180418 release-keys,sdm660,OPPO,null,Dalvik,1
armeabi-v7a,siajk233cna,hi6250,HNNEM-H,unknown,armeabi,NEM-AL10C00B192,NEM-AL10,HUAWEI,HONORNEM-AL10,ART,1
armeabi-v7a,siajk233cna,hi6250,HNNEM-H,unknown,armeabi,NEM-AL10C00B192,NEM-AL10,HUAWEI,HONORNEM-AL10,ART,1
armeabi-v7a,ubuntu-121-161,qcom,R11,unknown,armeabi,R11-user 4.4.2 NMF26X 381180418 release-keys,sdm660,OPPO,null,Dalvik,1
armeabi-v7a,ubuntu-121-161,qcom,R11,unknown,armeabi,R11-user 4.4.2 NMF26X 381180418 release-keys,sdm660,OPPO,null,Dalvik,1
armeabi-v7a,ubuntu-121-161,qcom,R11,unknown,armeabi,R11-user 4.4.2 NMF26X 381180529 release-keys,sdm660,OPPO,null,Dalvik,1
armeabi-v7a,SWDG2909,samsungexynox8895,sagit ,A7000ZCU1BPE1,armeabi,sagit-user 4.4.2 NMF26X 381180529 release-keys,universal8895,Xiaomi ,null,Dalvik,1
armeabi-v7a,WUH1000105879,qcom,SM-G925F,unknown,armeabi,SM-G925F-user 4.4.2 JLS36C 381180529 release-keys,MLA-AL10,samsung,null,Dalvik,1
armeabi-v7a,ubuntu-121-161,qcom,R11,unknown,armeabi,R11-user 4.4.2 NMF26X 381180418 release-keys,sdm660,OPPO,null,Dalvik,1
armeabi-v7a,android-PC,sofiaboard,sofia3gr_car,1639.400_M1S1,armeabi,sofia3gr_car-userdebug 5.1.1 LMY49F eng.levilin.20180328.164737 test-keys,rk30sdk,Rockchip,LMY49F,ART,1
armeabi-v7a,ubuntu-121-161,qcom,R11,unknown,armeabi,R11-user 4.4.2 NMF26X 381180529 release-keys,sdm660,OPPO,null,Dalvik,1
armeabi-v7a,DOOV,mt6755,DOOV L9,unknown,armeabi,L9_11_3.15_170301,DOOV L9,DOOV,MRA58K,ART,1
armeabi-v7a,huawei-desktop,qcom,HWDIG-L8940,unknown,armeabi,Diego-AL00C00B165,DIG-AL00,HUAWEI,HUAWEIDIG-AL00,ART,1
armeabi-v7a,ubuntu-121-161,qcom,R11,unknown,armeabi,R11-user 4.4.2 NMF26X 381180418 release-keys,sdm660,OPPO,null,Dalvik,1
armeabi-v7a,wuhjk0361cna,hi3635,HWCRR,unknown,armeabi,CRR-UL00C00B370,CRR-UL00,HUAWEI,HUAWEICRR-UL00,ART,1
armeabi-v7a,wuhjk0361cna,hi3635,HWCRR,unknown,armeabi,CRR-UL00C00B370,CRR-UL00,HUAWEI,HUAWEICRR-UL00,ART,1
x86,SWDB4706,qcom,cs02ve3g,unknown,armeabi-v7a,cs02ve3gctc-user 4.4.2 JLS36C 3.8.017.0927 release-keys,PRO5,samsung,null,Dalvik,1
armeabi-v7a,wuhjk0361cna,hi3635,HWCRR,unknown,armeabi,CRR-UL00C00B370,CRR-UL00,HUAWEI,HUAWEICRR-UL00,ART,1
armeabi-v7a,SWDG2909,qcom,SM-G955F,A9000ZCU1BQC1,armeabi,SM-G955F-user 4.4.2 JLS36C 381180523 release-keys,SM-G955F,samsung,null,Dalvik,1
armeabi-v7a,SWDG2909,qcom,sagit ,aruba3gzc,armeabi,sagit-user 4.4.2 NMF26X 381180523 release-keys,SM-G955F,Xiaomi ,null,Dalvik,1
armeabi-v7a,DOOV,mt6735,DOOV C70,unknown,armeabi,AY.C70_11_3.05_180326,DOOV C70,DOOV,MRA58K,ART,1
armeabi-v7a,SWDG2909,qcom,SM-G955F,A9000ZCU1BQC1,armeabi,SM-G955F-user 4.4.2 JLS36C 381180523 release-keys,SM-G955F,samsung,null,Dalvik,1
armeabi-v7a,DOOV,mt6735,DOOV C70,unknown,armeabi,AY.C70_11_3.05_180326,DOOV C70,DOOV,MRA58K,ART,1
armeabi-v7a,DOOV,mt6735,DOOV C70,unknown,armeabi,AY.C70_11_3.05_180326,DOOV C70,DOOV,MRA58K,ART,1
armeabi-v7a,siajk233cna,hi6250,HNNEM-H,unknown,armeabi,NEM-AL10C00B192,NEM-AL10,HUAWEI,HONORNEM-AL10,ART,1
armeabi-v7a,SWDG2909,qcom,SM-G955F,A9000ZCU1BQC1,armeabi,SM-G955F-user 4.4.2 JLS36C 381180523 release-keys,SM-G955F,samsung,null,Dalvik,1
armeabi-v7a,SWDG2909,qcom,SM-G955F,A9000ZCU1BQC1,armeabi,SM-G955F-user 4.4.2 JLS36C 381180523 release-keys,SM-G955F,samsung,null,Dalvik,1
armeabi-v7a,SWDG2909,qcom,SM-G955F,A9000ZCU1BQC1,armeabi,SM-G955F-user 4.4.2 JLS36C 381180523 release-keys,SM-G955F,samsung,null,Dalvik,1
